"","Topic 1: Central Banks","Topic 2: News","Topic 3: Emerging Markets","Topic 4: Eurozone","Topic 5: Private Investment","Topic 6: Miscellaneous","Topic 7: Financial Markets","Topic 8: Companies","Topic 9: German Politics","Topic 10: Raw Materials"
"79","sei","niveau","sieg","vielleicht","immobilienmarkt","geworden","gestern","weltweit","parteien","hongkong"
"80","inflationsraten","bruttoinlandsprodukt","stimmen","mitgliedstaaten","sparen","gefuehl","jones","mio","gesetzlichen","inzwischen"
"81","bundesbankpraesident","leicht","proteste","haette","kapital","bisschen","sp","kosten","steuerzahler","etwa"
"82","volkswirte","lebensmittel","sonntag","zoelle","investment","krieg","rund","basf","renten","zinsen"
"83","ezbchef","zuletzt","umfragen","schon","stadt","frueher","haendler","lidl","kuenftig","metall"
"84","liquiditaet","zufolge","seit","waehrung","investoren","ganze","verlor","paris","minister","muenzen"
"85","lockerung","gas","teheran","oekonomischen","depot","gab","s","wettbewerber","rentenversicherung","steigende"
"86","japan","institut","armee","merkel","langfristig","berliner","usstaatsanleihen","manager","streik","jahr"
"87","zinswende","preiserhoehungen","parteien","menschen","angebote","publikum","vermoegensverwalter","preissteigerungen","koalitionsvertrag","rohstoff"
"88","gefahr","allerdings","krieg","dafuer","aktuell","haus","yen","filialen","bundeskanzler","pro"
"89","frankfurt","insgesamt","wladimir","loesung","wohnraum","erst","steigende","neue","beitraege","stark"
"90","zinspolitik","sank","demonstranten","nationalen","anlegen","tod","zaehler","handel","fordern","globale"
"91","ben","statistiker","staatschef","einfach","geschaeftsfuehrer","sitzt","zeitweise","koeln","forderte","volksrepublik"
"92","christine","einzelhandel","argentiniens","rolle","bietet","gern","duerfte","wettbewerb","einkommensteuer","asiatischen"
"93","kurs","durchschnitt","waehrung","union","hamburg","tun","wert","re","ampelkoalition","zentralbanken"
"94","entscheidung","maerz","volk","grosse","fuenf","bild","verluste","stuttgart","kalte","rund"
"95","niedrigen","schnitt","brasiliens","geht","beim","niemand","notenbanken","edeka","sprecher","exporte"
"96","uswirtschaft","juni","brown","vielen","dabei","kultur","fonds","management","bundestagswahl","irak"
"97","dezember","mai","tayyip","politisch","liegen","essen","europa","mitarbeitern","steuer","groessten"
"98","niedrig","sogar","obama","subventionen","allerdings","sprache","rally","nestlé","entlasten","internationalen"
"99","massnahmen","durchschnittlich","sunak","vertrauen","haus","hause","kursen","porsche","kinder","volkswirtschaften"
"100","waehrungsunion","februar","region","interview","zahlt","kuenstler","deutsche","operative","steuereinnahmen","investitionen"
"101","iwf","zuwachs","praesidentin","darf","gut","dinge","monaten","juni","familien","boom"
"102","prozentpunkte","staerker","truss","wirtschaftliche","erzielen","gesagt","lag","apple","kalten","japanischen"
"103","billionen","preisanstieg","waehrungsfonds","technologien","kauf","gut","goldpreis","anbieter","erhalten","weltweite"
"104","ziel","umsatz","jaehrige","gar","gerade","stunden","stand","mill","eichel","boersen"
"105","deutlich","halbjahr","argentinische","system","kunde","einst","strategen","bosch","muessten","tonne"
"106","zins","aufschwung","recep","bevoelkerung","wohnimmobilien","ging","knapp","konzernchef","laender","fast"
"107","unabhaengigkeit","hoeher","soldaten","deshalb","konditionen","kind","indizes","august","ausgaben","japanische"
"108","gesenkt","hohen","lateinamerika","falsch","anlage","gerne","kursverluste","gmbh","christian","fass"
"109","jerome","umfrage","gewaehlt","finanzminister","liegt","reden","legte","boersengang","seien","gramm"
"110","yellen","produktion","bidens","klar","makler","medien","europaeischen","startup","kritik","vereinigten"
"111","erwarten","dezember","argentinischen","verantwortung","gebuehren","glueck","management","ceo","bundes","milei"
"112","schritt","teilte","nato","waeren","versicherungen","laesst","goldman","bekannt","sozialdemokraten","daher"
"113","teuerung","hoehere","auslaendische","krisen","eigentuemer","jahrhundert","basispunkte","eu","steuererhoehungen","mais"
"114","issing","konsumenten","uspraesident","zeit","privatanleger","gemacht","nasdaq","munich","bundeswehr","bitcoins"
"115","kreditvergabe","angaben","erklaerte","oekonomische","ertraege","begriff","nachdem","vorstand","abschluss","sachs"
"116","weber","heizoel","kiew","wettbewerb","nachfrage","gehoert","gemeinschaftswaehrung","familienunternehmen","entlastet","unternehmen"
"117","experten","wirtschaftsforschung","internationalen","stabilitaet","verzinsung","lang","p","verbraucher","einnahmen","george"
"118","maerkten","steigenden","reformen","bundesregierung","immobilienpreise","liebe","zaehlern","anlaesslich","hoehere","barren"
"119","september","wegen","mrd","macht","wert","job","unternehmensanleihen","sei","inflationsausgleich","iwf"
"120","rat","folge","regierungschef","darum","jaehrlich","findet","rentenmarkt","zulieferer","geplanten","europa"
"121","hoehere","wirtschaftsleistung","gewalt","industrie","verbraucherzentrale","gleich","anstieg","betrieb","solle","greenspan"
"122","geld","millionen","millionen","aufgabe","drei","lebt","usdollar","geschaeftsfuehrer","geplante","rohoel"
"123","prozentpunkt","seien","konservative","ira","lebensversicherung","fragt","stoxx","google","bisher","jedoch"
"124","erhoehen","duerften","lesen","entscheidungen","lohnt","freiheit","positiv","juli","debatte","laender"
"125","kraemer","nahrungsmittel","usa","recht","aktienfonds","berlin","gestiegen","autobauer","anhebung","uswirtschaft"
"126","oekonom","preisen","ministerpraesident","ueberhaupt","weniger","schoen","bewertet","september","einigung","suedafrika"
"127","rechnen","volkswirte","unterstuetzung","finanzpolitik","ab","demokratie","jp","elektroautos","beschlossen","anstieg"
"128","niveau","eurostat","wurden","sicher","haeufig","strasse","maerkten","discounter","wolfgang","aufschwung"
"129","alan","steigende","kongress","nehmen","metropolen","karriere","bloomberg","software","hoehe","goldman"
"130","europa","zwei","milei","volkswirtschaft","je","theater","zugelegt","april","mehrwertsteuer","york"
"131","juni","gestiegenen","putins","unseren","niedrigen","ploetzlich","oben","ersten","steinbrueck","maerkte"
"132","darauf","dienstleistungen","mexiko","loesen","studie","kopf","montag","sap","kommission","platin"
"133","zinsniveau","jahresvergleich","menschen","act","staedte","inflationaer","bundfuture","teilte","kassen","boerse"
"134","regierungen","befragten","fuehrung","idee","zahlen","minuten","steigenden","rewe","pro","immer"
"135","zuletzt","berechnungen","gegner","energien","steigen","musik","vortag","umsatzes","arbeitgebern","wirtschaftswachstum"
"136","anstieg","august","argentinier","kommen","allianz","roman","erholung","telekom","lohnerhoehungen","firmen"
"137","anheben","oktober","demokratischen","debatte","eigenkapital","kindern","nachmittag","marge","vorschlaege","analysten"
"138","risiko","einkommen","aussenpolitik","wirtschaftlichen","durchschnittlich","erinnert","laufzeit","aufsichtsrat","tarifverhandlungen","russische"
"139","duerfte","november","tuerken","glauben","durchschnitt","reich","asset","new","ausgleich","bereits"
"140","betonte","september","medien","grossen","sogar","kleinen","rechnen","audi","warnstreiks","museum"
"141","bereits","dritten","caracas","fall","darlehen","republik","kgv","werk","gdl","australien"
"142","koennten","trotz","beziehungen","genau","vermoegens","eigenen","europaeische","absatz","bayern","aktien"
"143","kerninflation","benzin","russen","infrastruktur","portfolio","ganzen","dividenden","operativen","bundesrat","mexiko"
"144","mandat","gesamtjahr","linken","geben","frankfurt","kennt","marktteilnehmer","laeden","gesetzliche","steigenden"
"145","staaten","branche","militaer","erreichen","anlegern","fernsehen","hoeher","chef","beitrag","starken"
"146","draghis","experten","iranische","oeffentliche","gilt","bayern","investment","rwe","zahlen","edelmetalle"
"147","finanzsystem","erholung","ukrainischen","geld","wohneigentum","geboren","erwartungen","bank","heil","wachsen"
"148","preise","kosten","minister","staatsverschuldung","neubau","mag","anleihemarkt","erste","tarifvertrag","heute"
"149","teuerungsrate","besonders","tories","helfen","konto","uhr","bewertungen","tesla","ard","rubel"
"150","halten","sinken","akp","denken","anteil","meter","portfolio","ki","plaene","john"
"151","eurostaaten","prozentpunkte","kabinett","fehler","besten","wohl","ubs","fusion","kliniken","devisenreserven"
"152","maerz","oecd","anhaenger","gemeinsamen","grossstaedten","new","portfolios","seien","kindern","gewinne"
"153","kaeufe","betrug","beitritt","wasserstoff","verbraucherschuetzer","kleine","aktionaere","woche","bundeshaushalt","erholung"
"154","wirtschaftswachstum","fast","syrien","globalen","verkaufen","denken","stark","geschaefte","liberalen","blase"
"155","erholung","studie","aussenminister","neue","teuer","steht","eurozone","maerz","wirtschaftsminister","saudiarabien"
"156","krise","kraeftig","iranischen","wissen","investments","nein","msci","jahrespressekonferenz","vorsitzende","abwertung"
"157","euros","demnach","venezuelas","sinn","kaufpreise","platz","wochen","umsaetze","zusaetzlich","investmentbank"
"158","inflationsgefahren","gerechnet","regiert","daran","sparbuch","jahrhunderts","etfs","china","pflegeversicherung","rand"
"159","straffung","prognostiziert","staat","interessen","laut","fand","risiken","halbjahreszahlen","lohnerhoehung","groesste"
"160","niedrige","schaetzung","paulo","weltwirtschaft","vier","buehne","oelpreis","hamburger","berliner","edelmetalls"
"161","nahe","strom","ahmadinedschad","fuehren","objekte","hand","kletterte","mrd","vorhaben","internationale"
"162","inflationsrisiken","zuvor","weissen","reduction","lebensversicherungen","ort","zehnjaehriger","sprecher","krankenversicherung","sogar"
"163","stark","zulegen","waffen","volkswirtschaften","wohnungsmarkt","augen","leitzinsen","tui","ministerium","of"
"164","inflationsdruck","liegt","justiz","institutionen","versicherung","wurden","verloren","jahresergebnis","geplant","asiens"
"165","sicht","sechs","tag","stabilitaetspakt","interessenten","wahrheit","bewertung","mai","evg","auslaendische"
"166","praesident","privaten","internationale","autor","deutlich","ueberhaupt","juengsten","sowie","beim","markets"
"167","chef","monat","britische","gesellschaft","vergangenen","idee","positive","lieferanten","kindergeld","notierungen"
"168","zeit","exporte","wahlsieg","dabei","zertifikate","alter","spekulationen","februar","entwurf","reserven"
"169","chefoekonom","investitionen","kandidat","folgen","hoeher","los","dz","muenchener","opposition","derzeit"
"170","unveraendert","laufenden","kampf","sehen","mindestens","gott","zinserhoehungen","london","gefordert","indiens"
"171","weiteren","zurueck","wegen","stimmt","teurer","tage","gegenueber","messe","angela","emerging"
"172","waehrungsfonds","beschaeftigten","ukrainische","herausforderungen","hohe","genau","gab","logistik","krankenkassen","reich"
"173","juengsten","lagen","macht","antwort","privaten","angst","sachs","insolvenz","loehne","kaufen"
"174","erwartungen","kaufkraft","johnson","dmark","menschen","opfer","korrektur","sparte","jaehrlich","koennten"
"175","politik","statistikamt","erdogans","integration","empfiehlt","irgendwie","gewinn","rueckversicherer","koenne","konsum"
"176","eurolaender","sanken","finanzminister","gefahr","angeboten","lieber","depot","bayer","menschen","gefahr"
"177","italien","duesseldorf","revolution","verschuldung","guenstig","ueberall","markets","aktionaere","lauterbach","volkswirtschaft"
"178","daher","vorquartal","mann","richtige","besonders","weltkrieg","aktuell","herstellern","vorgesehen","indische"
"179","mittelfristig","cent","ruecktritt","mehr","zinssatz","laengst","rekordhoch","oktober","bundeslaender","erdoel"
"180","naechsten","dagegen","kreml","viele","kaum","gesicht","feinunze","belegschaft","erhoehen","investieren"
"181","daten","instituts","labour","thema","durchschnittliche","beispiel","kursziel","standort","erhoeht","w"
"182","verhindern","drei","liess","deutschlands","daher","geschrieben","maerz","fluggesellschaften","kritisierte","steigt"
"183","spielraum","erstmals","staaten","kommt","koeln","irgendwann","leicht","international","massnahmen","wechselkurs"
"184","druck","branchen","nation","staatliche","meisten","muenchen","schweizer","fc","kritisiert","ausland"
"185","glaubwuerdigkeit","rate","auslaendischen","steuern","bauzinsen","freunde","abend","boerse","worden","risiken"
"186","geschaeftsbanken","gelegen","rousseff","staerken","einlagen","kommt","gefallen","veroeffentlichung","spitzensteuersatz","hausse"
"187","prognosen","legten","rubel","diskussion","betrag","kennen","bitcoin","daimler","sozialabgaben","hohen"
"188","geldpolitiker","energiekosten","versucht","staatsschulden","vielen","verstehen","kursgewinnverhaeltnis","cent","gehalt","liter"
"189","zentralbanker","etwa","republik","nutzen","mietpreisbremse","lebens","notiert","york","abschaffung","weltmarkt"
"190","wim","jahresbeginn","senat","keynes","fall","mark","ebenfalls","werbung","hartz","krise"
"191","ezbpraesidentin","hoeheren","macron","eurozone","sicherheit","maedchen","gut","werke","betonte","weinberg"
"192","kommenden","vierten","islamischen","demokratie","angelegt","jedenfalls","kommenden","modelle","steuersenkungen","world"
"193","erhoeht","verteuerten","cristina","massnahmen","deshalb","mehr","steigen","airline","bundesverfassungsgericht","kryptowaehrung"
"194","lockeren","preisauftrieb","la","sehe","raten","schrieb","drei","bahn","streit","schnell"
"195","lockere","lage","politiker","besteht","verkauft","finden","konjunktur","marktanteil","hoeheren","zehn"
"196","jens","arbeitnehmer","tagen","irland","branche","erzaehlen","milliarden","preise","legislaturperiode","westlichen"
"197","amerikanische","punkte","woche","eustaaten","vergleich","werk","franken","uebernommen","cent","letzten"
"198","senkung","wirtschaftswachstum","staatlichen","verstehen","kredit","wusste","erwarteten","netflix","zudem","kapital"
"199","waere","umsaetze","nachfolger","transformation","bauen","titel","stiegen","einzelhandel","gemeinden","billionen"
"200","langfristigen","prognosen","hugo","leider","vermoegensverwalter","buecher","blick","washington","zusaetzliche","waechst"
